XUEWAMZWAWHUPZ-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
JLDNMWCWVRSBND-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
SRMMZWSXWUXEAF-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
PQEKQMDZALBFHY-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
RPIZCVDFTYCVHS-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QVYXRVPGGDPXPF-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
FICCJNZNMURRLP-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QVXIJHADDSEHQH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ILGZRXQOQOPMEA-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
OJMYKJKWJUFDPC-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
CDPAYGKYNZUDIT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
OSCWTZQDWLRRLW-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
PTHUKWURQITZFW-UHFFFAOYSA-N	Saccharolipids	CHEMONTID:0003918
CBVBUPRDNNQAES-UHFFFAOYSA-N	Saccharolipids	CHEMONTID:0003918
DKTVIHASXILTBS-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
NDEURDQMLTUWNS-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
FNNUDYCLFZIPFB-UHFFFAOYSA-N	Depsipeptides	CHEMONTID:0001961
VOSMFEZTBUIRCU-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
PLHREJVLRVKXQN-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
TVCSVONBUWOIMZ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CCNIEWRCLHDDMV-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
DSWIWDCFYFDFQG-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZRWBKVBBLWLBCE-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZXBQCDNNRMKXIU-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
ZZXDGSMWKYKNPC-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
NNULWMKCIKQSPK-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
BJEWNKFNJSBOBK-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
URQZNKWQDZQGFA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZVEJIZBLZILBPH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
AQUIQFOPZNKCMX-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
NFIHFNROYBWUKR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
SUTALUMKMRSKIF-UHFFFAOYSA-N	Acylaminosugars	CHEMONTID:0000146
GHNDSGGGINOPAR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VFOQGJAGMQCDQI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
PGTQBULAYCIWPB-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
